ProductId,ratingCount,ratingAvg,pants,jeans,shirt,t-shirt,jacket,coat,hoodies,sweatshirts,blazer,sneaker,boot,oxford,blouseClean,skirtClean,tie
1,3,4.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,6,4.666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,4,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,336,3.8333333333333335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,3,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,261,4.256704980842912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,2,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,5,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,153,4.163398692810458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6883,4.086735435130031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30,4.166666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,7,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,18,4.611111111111111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,1,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2461,4.009752133279155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,23,3.8260869565217392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1961,4.453340132585415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,8,4.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,137,4.248175182481752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
